symbol,strategy,pf_test_mean,pf_test_std,sharpe_test_mean,avg_degradation,num_windows,num_overfitted,verdict
SPY,bollinger,0.011407327806263096,0.007922151962297154,0.2164282875176697,0.32621982810486577,28,12,RECHAZAR
QQQ,bollinger,0.021029181701988132,0.018177189768000847,-0.08984349546177486,0.4153404934561675,28,13,RECHAZAR
AAPL,bollinger,0.025805175431271265,0.02581223899975098,-0.34426925758954463,0.4433017288725827,28,17,RECHAZAR
MSFT,bollinger,0.018102021738072432,0.01940634761950625,0.014260831397758971,0.49635758213065523,28,15,RECHAZAR
TSLA,bollinger,0.030832485380052396,0.026958911867804594,-0.2902113474232006,0.41276725815205684,28,13,RECHAZAR
BTCUSDT,bollinger,0.02198761024204895,0.04247427822005591,-0.22356824489032254,0.7704578446777264,28,22,RECHAZAR
ETHUSDT,bollinger,0.06267309718851813,0.06986419936649255,-0.23936090740012952,0.5477023587630051,28,17,RECHAZAR
BNBUSDT,bollinger,0.06821664406910355,0.11040891441471007,-0.46375208132138646,0.5505855592963667,28,16,RECHAZAR
