Date,Open,High,Low,Close,Volume
2016-04-25,23.780451778785896,23.927664444903044,23.669476820966093,23.79857063293457,112126400
2016-04-26,23.533589501423272,23.848397257080617,23.533589501423272,23.63323974609375,224064800
2016-04-27,21.74212537212017,22.35588724558825,21.669651689996126,22.154319763183594,458408400
2016-04-28,22.106757733313717,22.16790669694198,21.345783253113265,21.477142333984375,328970800
2016-04-29,21.28689048087115,21.452221918927325,20.95170048533626,21.230270385742188,274126000
2016-05-02,21.282365295903038,21.307278280279572,20.926791106420705,21.207626342773438,192640400
2016-05-03,21.334458229019873,21.683238338036464,21.21668915237302,21.55640983581543,227325200
2016-05-04,21.560937376849367,21.719474722918175,21.24839498908705,21.33219337463379,164102000
2016-05-05,21.418786754408522,21.43473684522037,21.118012371649755,21.24561309814453,143562000
2016-05-06,21.275227988494596,21.293455415162843,20.92888080536488,21.127119064331055,174799600
2016-05-09,21.19092812459223,21.366379130177148,21.097504918844063,21.143077850341797,131745600
2016-05-10,21.26611839672215,21.320804166418394,20.988129648253217,21.286624908447266,134747200
2016-05-11,21.300295188935703,21.32080169828695,21.067877652380467,21.07927131652832,114876400
2016-05-12,21.127122427175387,21.14079343395983,20.38657942691291,20.584815979003906,305258800
2016-05-13,20.507345483894703,20.88787025509507,20.507345483894703,20.625831604003906,177571200
2016-05-16,21.051927548030122,21.507646298698038,20.88331209704313,21.391437530517578,245039200
2016-05-17,21.54410629634626,21.57828381454151,21.193202622631627,21.302574157714844,187667600
2016-05-18,21.45524054073366,21.694491852089957,21.39371753322122,21.546382904052734,168249600
2016-05-19,21.56461033172737,21.56461033172737,21.320800878824148,21.464351654052734,121768400
2016-05-20,21.564612756893798,21.744621885494894,21.53726900397226,21.6967716217041,128104000
2016-05-23,21.844878177138224,22.145652472550694,21.7993052606036,21.97247886657715,152074400
2016-05-24,22.152489631091072,22.350726182938512,22.06590195241827,22.30743408203125,140560800
2016-05-25,22.482884808411256,22.72669427765415,22.35528411076761,22.699352264404297,152675200
2016-05-26,22.713022093799868,22.9522751279102,22.476048140151935,22.87936019897461,225324800
2016-05-27,22.658340973272143,22.893035894534986,22.6150471277629,22.865692138671875,145364800
2016-05-31,22.694792029031795,22.877080213373,22.51706200543505,22.75403594970703,169228800
2016-06-01,22.56263449160384,22.6811223398301,22.405412705375742,22.435033798217773,116693200
2016-06-02,22.239070896117898,22.293756650121292,22.018047061550345,22.266414642333984,160766400
2016-06-03,22.28236964346596,22.39174117560807,22.2048965479719,22.31199073791504,114019600
2016-06-06,22.327938381737916,23.216590240671206,22.227681444651946,22.47376823425293,93170000
2016-06-07,22.615047869578415,22.756321338527762,22.54896842789708,22.564918518066406,89638000
2016-06-08,22.56263241058802,22.68567667004546,22.485161064871615,22.544404983520508,83392400
2016-06-09,22.444149559864716,22.783659558832454,22.435034975797432,22.706188201904297,106405600
2016-06-10,22.450987717810186,22.637832367208222,22.43959579020102,22.519346237182617,126851600
2016-06-13,22.487442095687204,22.58542169569288,22.125144788343775,22.17983055114746,152082000
2016-06-14,22.175274127977108,22.439591835307525,22.045394354803797,22.20717430114746,127727600
2016-06-15,22.289204626553907,22.423642565608542,22.109195506575492,22.134260177612305,117780800
2016-06-16,21.977031645634828,22.27324946950096,21.89044572621689,22.227678298950195,125307200
2016-06-17,22.015774912126393,22.022610415685328,21.715000586528955,21.72183609008789,244032800
2016-06-20,21.874495896372444,22.004375646220005,21.65347206593758,21.669422149658203,137647600
2016-06-21,21.632974264836903,21.95425514860418,21.573730327853145,21.8539981842041,142185600
2016-06-22,21.931465901677825,22.077295769638027,21.726392106599683,21.77196502685547,116876400
2016-06-23,21.86082505727644,21.940575476479815,21.703601560540676,21.897281646728516,128960800
