Date,Open,High,Low,Close,Volume
2016-04-25,176.93545717274523,177.27530065986903,176.32375185962587,177.23281860351562,66166500
2016-04-26,177.59817766743848,178.0059899481992,177.0204630485873,177.49623107910156,75864200
2016-04-27,177.11394452979732,178.25239147981213,176.75711845428708,177.86158752441406,77329400
2016-04-28,177.1054540237371,178.20991013466426,175.83106962155173,176.2473602294922,97216200
2016-04-29,175.6271615660197,175.9754964101699,174.1913530807685,175.2958221435547,142424100
2016-05-02,175.7970003788329,176.8674781323399,175.36371454225448,176.68907165527344,62188000
2016-05-03,175.45725048426755,175.6951345387806,174.4037546973465,175.15139770507812,106422100
2016-05-04,174.15731869499416,174.8879660258948,173.67304656190348,174.17430114746094,92243800
2016-05-05,174.64162030796456,174.9984463520497,173.71557083900257,174.14036560058594,67619200
2016-05-06,173.36722052062296,174.82002417935882,173.21430064270663,174.7775421142578,89315000
2016-05-09,174.65005897208292,175.35520660368078,174.47163953512882,174.9219207763672,74374900
2016-05-10,175.6271225310977,177.11390398724373,175.5591538231721,177.09690856933594,77472200
2016-05-11,176.63812490066258,177.17335737593692,175.44020080566406,175.44020080566406,81727000
2016-05-12,176.11136172533998,176.28128995768517,174.4801518117173,175.4911651611328,89586300
2016-05-13,175.19384438205137,175.74607233337468,173.63909414893814,173.96192932128906,96474600
2016-05-16,174.131869695222,176.15388389072794,174.07239220761835,175.67811584472656,77486800
2016-05-17,175.40627668104864,175.69513403731736,173.511682515837,174.03843688964844,114924900
2016-05-18,173.69006266404253,175.27029949983358,173.00189730975876,174.08937072753906,120062100
2016-05-19,173.36726402078418,173.77506342792284,172.2797902926081,173.4862060546875,115430500
2016-05-20,174.0978810763577,175.10040344068355,174.04690777987975,174.5821533203125,104990400
2016-05-23,174.59915056158883,174.8795166796659,174.1573733122325,174.3442840576172,58682600
2016-05-24,175.15987214221596,176.91852869488514,175.13438549336922,176.6041717529297,93537800
2016-05-25,177.28385859501512,178.21841233163534,176.60418432871938,177.80210876464844,76621400
2016-05-26,177.93802199444266,178.16741478288665,177.5387139034762,177.85305786132812,55280700
2016-05-27,178.01447682514024,178.62618226762407,177.96350353221763,178.61769104003906,64211200
2016-05-31,178.88955273186752,179.0000035088857,177.7171151410786,178.27784729003906,109879400
2016-06-01,177.66615276960985,178.82159501256743,177.47075081370213,178.6431884765625,69936200
2016-06-02,178.2438905040564,179.20391788196574,177.76812242939198,179.1869354248047,63044700
2016-06-03,178.6262009729401,179.00002244512663,177.4452720296459,178.6516876220703,101757100
2016-06-06,179.00848907654503,179.9175559829688,178.84706501176282,179.56072998046875,64887000
2016-06-07,179.71367698211526,180.40184244536616,179.68819033263986,179.8411102294922,60974800
2016-06-08,179.9770105373412,180.55473805490792,179.84957731625556,180.4272918701172,66170900
2016-06-09,179.69662084052692,180.29983492293235,179.42475901675084,180.18089294433594,73786900
2016-06-10,178.8046059770867,179.14443658039636,177.9295168943366,178.4732666015625,113829200
2016-06-13,177.8700380378212,178.72811866843432,177.01195740720803,177.09690856933594,117751200
2016-06-14,176.71460305913646,177.34330391003104,175.7970449106847,176.7485809326172,125059300
2016-06-15,176.74858776686733,177.87005209068462,176.31530180377783,176.50221252441406,109124500
2016-06-16,176.5022198364116,177.1988894537725,174.66710339252674,177.02896118164062,149533100
2016-06-17,176.92477447777986,176.95039366641055,175.71208510180838,176.3696746826172,117055700
2016-06-20,178.33386628724855,179.0085265310742,177.42007193617692,177.50547790527344,82789600
2016-06-21,177.889823587045,178.41930424189601,177.44573589171452,178.00938415527344,72461700
2016-06-22,178.18867261608438,178.91458425630307,177.5737861288952,177.71897888183594,95560500
2016-06-23,179.1793784115064,180.08462461462645,178.71821992296182,180.03338623046875,102731400
2016-06-24,173.90160498686507,180.06754207953452,173.1244547948989,173.56854248046875,333444400
2016-06-27,172.15942810806536,172.16797652592734,169.6486431080972,170.4599609375,230775800
2016-06-28,172.06549875931248,173.56001250367444,171.75805541065586,173.53439331054688,159382400
2016-06-29,174.93495733745567,176.71983053966585,174.8324805698264,176.4892578125,137328600
2016-06-30,176.9589188625386,178.94874508440498,176.4038061090953,178.8975067138672,165021900
2016-07-01,178.89754991350944,179.76010612958862,178.73528634687574,179.2733154296875,106055300
2016-07-05,178.4449231161789,178.55594829759565,177.3859618083562,177.9837646484375,109803700
2016-07-06,177.48841864598015,179.17081482705453,176.83082908015393,179.05125427246094,96021500
2016-07-07,179.23062137922298,179.89674645255874,178.1716599965484,178.9402618408203,85593800
2016-07-08,180.23836208364483,181.8524364233916,180.00777631193074,181.60476684570312,133971000
2016-07-11,182.06590493697192,182.8174358882521,181.86093839631639,182.2452392578125,73633900
2016-07-12,183.2102575647061,183.8678470947775,182.2708439503184,183.56893920898438,101275600
2016-07-13,183.9874226176217,183.99595800349357,183.0565573437704,183.5433349609375,87324100
2016-07-14,184.80726687297488,185.03785260793288,184.1753094950419,184.56814575195312,91230900
2016-07-15,185.13181569367885,185.32823384517283,183.87642314550487,184.3205108642578,107155400
2016-07-18,184.43998476978555,184.97801361793137,184.1837799358533,184.8157501220703,58725900
2016-07-19,184.39738967531034,184.66213004718492,184.14973311065802,184.6279754638672,54345700
2016-07-20,184.62792842682754,185.63565126705168,184.62792842682754,185.3965301513672,58159500
2016-07-21,185.28554128105674,185.50757862175766,184.25218609118403,184.69627380371094,67777300
2016-07-22,184.81581496856785,185.57588132287663,184.55107465869187,185.52464294433594,62787500
2016-07-25,185.31969040962014,185.37092879203456,184.44006342850685,185.02078247070312,55873100
